content,content_lower,content_no_punctuation,content_no_emoji,content_no_stopwords,processed,predicted
"Applikasi Untuk Pertukaran Mata Uang Digital Ter Aman, Ter Bagus, Pokonya Applikasi TOKOKRYPTO Mantep Deh, Hayu Temen Temen Buruan Segera Download Applikasi Nya, Cuman Di Sini Kalian Bisa Mendapat Kan Cuan, Banyak Event Yg Tentunya Hadiahnya Wow Banget Deh🔥👍","applikasi untuk pertukaran mata uang digital ter aman, ter bagus, pokonya applikasi tokokrypto mantep deh, hayu temen temen buruan segera download applikasi nya, cuman di sini kalian bisa mendapat kan cuan, banyak event yg tentunya hadiahnya wow banget deh🔥👍",applikasi untuk pertukaran mata uang digital ter aman ter bagus pokonya applikasi tokokrypto mantep deh hayu temen temen buruan segera download applikasi nya cuman di sini kalian bisa mendapat kan cuan banyak event yg tentunya hadiahnya wow banget deh🔥👍,applikasi untuk pertukaran mata uang digital ter aman ter bagus pokonya applikasi tokokrypto mantep deh hayu temen temen buruan segera download applikasi nya cuman di sini kalian bisa mendapat kan cuan banyak event yg tentunya hadiahnya wow banget deh,applikasi pertukaran mata uang digital ter aman ter bagus pokonya applikasi tokokrypto mantep deh hayu temen temen buruan download applikasi nya cuman cuan event yg hadiahnya wow banget deh,applikasi tukar mata uang digital ter aman ter bagus poko applikasi tokokrypto mantep deh hayu temen temen buru download applikasi nya cuman cuan event yg hadiah wow banget deh,positive
"Bagus aplikasinya rekomended banget si menurut saya, market lengkap, untuk biaya wd juga sangat murah, sama indikator juga banyak pilihan😍😍😍","bagus aplikasinya rekomended banget si menurut saya, market lengkap, untuk biaya wd juga sangat murah, sama indikator juga banyak pilihan😍😍😍",bagus aplikasinya rekomended banget si menurut saya market lengkap untuk biaya wd juga sangat murah sama indikator juga banyak pilihan😍😍😍,bagus aplikasinya rekomended banget si menurut saya market lengkap untuk biaya wd juga sangat murah sama indikator juga banyak pilihan,bagus aplikasinya rekomended banget si market lengkap biaya wd murah indikator pilihan,bagus aplikasi rekomended banget si market lengkap biaya wd murah indikator pilih,positive
Woh aplikasinya sekarang sangat gila dan edan nyedot kuota user nya gila gilaan IT lu sue 12 hari 64gb gw lenyap sama aplikasi lu ini bgst,woh aplikasinya sekarang sangat gila dan edan nyedot kuota user nya gila gilaan it lu sue 12 hari 64gb gw lenyap sama aplikasi lu ini bgst,woh aplikasinya sekarang sangat gila dan edan nyedot kuota user nya gila gilaan it lu sue 12 hari 64gb gw lenyap sama aplikasi lu ini bgst,woh aplikasinya sekarang sangat gila dan edan nyedot kuota user nya gila gilaan it lu sue 12 hari 64gb gw lenyap sama aplikasi lu ini bgst,woh aplikasinya gila edan nyedot kuota user nya gila gilaan it lu sue 12 64gb gw lenyap aplikasi lu bgst,woh aplikasi gila edan nyedot kuota user nya gila gila it lu sue 12 64gb gw lenyap aplikasi lu bgst,negative
"Mudah mengoperasikannya.Membeli dan menjual cukup mudah, biaya admin paling murah.Pokoknya sangat recomended untuk mengunduh aplikasi ini","mudah mengoperasikannya.membeli dan menjual cukup mudah, biaya admin paling murah.pokoknya sangat recomended untuk mengunduh aplikasi ini",mudah mengoperasikannyamembeli dan menjual cukup mudah biaya admin paling murahpokoknya sangat recomended untuk mengunduh aplikasi ini,mudah mengoperasikannyamembeli dan menjual cukup mudah biaya admin paling murahpokoknya sangat recomended untuk mengunduh aplikasi ini,mudah mengoperasikannyamembeli menjual mudah biaya admin murahpokoknya recomended mengunduh aplikasi,mudah mengoperasikannyamembeli jual mudah biaya admin murahpokoknya recomended unduh aplikasi,positive
"KEMBALIKAN TOOLS UNTUK GAMBAR GAMBAR DI HP, sudah bagus ada malah dihilangkan...","kembalikan tools untuk gambar gambar di hp, sudah bagus ada malah dihilangkan...",kembalikan tools untuk gambar gambar di hp sudah bagus ada malah dihilangkan,kembalikan tools untuk gambar gambar di hp sudah bagus ada malah dihilangkan,kembalikan tools gambar gambar hp bagus dihilangkan,kembali tools gambar gambar hp bagus hilang,negative
Mudah dalam investasi coin digital,mudah dalam investasi coin digital,mudah dalam investasi coin digital,mudah dalam investasi coin digital,mudah investasi coin digital,mudah investasi coin digital,positive
"Salam sejahtra untuk semuanya,, Pengalaman saya di TOKOCYRPTO semuan aman dan berjalan dengan lancar, di sini mudah transaksi dalam berdagang, dan juga cepat, Ayo kita semua sukses dengan TOKOCYRTO. salam.","salam sejahtra untuk semuanya,, pengalaman saya di tokocyrpto semuan aman dan berjalan dengan lancar, di sini mudah transaksi dalam berdagang, dan juga cepat, ayo kita semua sukses dengan tokocyrto. salam.",salam sejahtra untuk semuanya pengalaman saya di tokocyrpto semuan aman dan berjalan dengan lancar di sini mudah transaksi dalam berdagang dan juga cepat ayo kita semua sukses dengan tokocyrto salam,salam sejahtra untuk semuanya pengalaman saya di tokocyrpto semuan aman dan berjalan dengan lancar di sini mudah transaksi dalam berdagang dan juga cepat ayo kita semua sukses dengan tokocyrto salam,salam sejahtra pengalaman tokocyrpto semuan aman berjalan lancar mudah transaksi berdagang cepat ayo sukses tokocyrto salam,salam sejahtra alam tokocyrpto semu aman jalan lancar mudah transaksi dagang cepat ayo sukses tokocyrto salam,positive
Setelah saya coba tokocrypto memang benar ini market crypto no 1 di indonesia dan next no 2 di dunia setelah binance..,setelah saya coba tokocrypto memang benar ini market crypto no 1 di indonesia dan next no 2 di dunia setelah binance..,setelah saya coba tokocrypto memang benar ini market crypto no 1 di indonesia dan next no 2 di dunia setelah binance,setelah saya coba tokocrypto memang benar ini market crypto no 1 di indonesia dan next no 2 di dunia setelah binance,coba tokocrypto market crypto no 1 indonesia next no 2 dunia binance,coba tokocrypto market crypto no 1 indonesia next no 2 dunia binance,positive
Lama kali verifikasinya udah 1 minggu,lama kali verifikasinya udah 1 minggu,lama kali verifikasinya udah 1 minggu,lama kali verifikasinya udah 1 minggu,kali verifikasinya udah 1 minggu,kali verifikasi udah 1 minggu,negative
"aplikasi terbaik, mudah digunakan dan cepat dipahami. Sampai saat ini belum pernah bertemu bug, dan sudah mendapatkan keuntungan lebih dari 100% apalagi sewaktu TKO naik ampe 70rb","aplikasi terbaik, mudah digunakan dan cepat dipahami. sampai saat ini belum pernah bertemu bug, dan sudah mendapatkan keuntungan lebih dari 100% apalagi sewaktu tko naik ampe 70rb",aplikasi terbaik mudah digunakan dan cepat dipahami sampai saat ini belum pernah bertemu bug dan sudah mendapatkan keuntungan lebih dari 100 apalagi sewaktu tko naik ampe 70rb,aplikasi terbaik mudah digunakan dan cepat dipahami sampai saat ini belum pernah bertemu bug dan sudah mendapatkan keuntungan lebih dari 100 apalagi sewaktu tko naik ampe 70rb,aplikasi terbaik mudah cepat dipahami bertemu bug keuntungan 100 tko ampe 70rb,aplikasi baik mudah cepat paham temu bug untung 100 tko ampe 70rb,positive
Good,good,good,good,good,good,positive
"Robot yg bales imailnya juga,hahahahhaa","robot yg bales imailnya juga,hahahahhaa",robot yg bales imailnya jugahahahahhaa,robot yg bales imailnya jugahahahahhaa,robot yg bales imailnya jugahahahahhaa,robot yg bales imailnya jugahahahahhaa,negative
Mudah beeli mudah jual mudah tarik,mudah beeli mudah jual mudah tarik,mudah beeli mudah jual mudah tarik,mudah beeli mudah jual mudah tarik,mudah beeli mudah jual mudah tarik,mudah beeli mudah jual mudah tarik,positive
Susah utk daftar.,susah utk daftar.,susah utk daftar,susah utk daftar,susah utk daftar,susah utk daftar,negative
"Ini gimana ceritanya? Harga 1 usd sekarang sudah 14.800 kenapa di TKO cuman tertulis 14.200,kacau ni aplikasi bikin saya rugi banyak.","ini gimana ceritanya? harga 1 usd sekarang sudah 14.800 kenapa di tko cuman tertulis 14.200,kacau ni aplikasi bikin saya rugi banyak.",ini gimana ceritanya harga 1 usd sekarang sudah 14800 kenapa di tko cuman tertulis 14200kacau ni aplikasi bikin saya rugi banyak,ini gimana ceritanya harga 1 usd sekarang sudah 14800 kenapa di tko cuman tertulis 14200kacau ni aplikasi bikin saya rugi banyak,gimana ceritanya harga 1 usd 14800 tko cuman tertulis 14200kacau ni aplikasi bikin rugi,gimana cerita harga 1 usd 14800 tko cuman tulis 14200kacau ni aplikasi bikin rugi,negative
Kyc nya susah..,kyc nya susah..,kyc nya susah,kyc nya susah,kyc nya susah,kyc nya susah,negative
Deposito nya kelamaan .. Kacau,deposito nya kelamaan .. kacau,deposito nya kelamaan  kacau,deposito nya kelamaan  kacau,deposito nya kacau,deposito nya kacau,negative
Apk nya keren sihh.. Apa lagi kalau sering² bikin event.. mantap dahh,apk nya keren sihh.. apa lagi kalau sering² bikin event.. mantap dahh,apk nya keren sihh apa lagi kalau sering² bikin event mantap dahh,apk nya keren sihh apa lagi kalau sering² bikin event mantap dahh,apk nya keren sihh sering² bikin event mantap dahh,apk nya keren sihh sering bikin event mantap dahh,positive
"Aplikasi ini sangat baik digunakan bagi pemula trading karena koinnya banyak pilihan, sehingga bisa bebas memilih dan keamanannya juga bagus untuk menjaga data yang kita miliki.","aplikasi ini sangat baik digunakan bagi pemula trading karena koinnya banyak pilihan, sehingga bisa bebas memilih dan keamanannya juga bagus untuk menjaga data yang kita miliki.",aplikasi ini sangat baik digunakan bagi pemula trading karena koinnya banyak pilihan sehingga bisa bebas memilih dan keamanannya juga bagus untuk menjaga data yang kita miliki,aplikasi ini sangat baik digunakan bagi pemula trading karena koinnya banyak pilihan sehingga bisa bebas memilih dan keamanannya juga bagus untuk menjaga data yang kita miliki,aplikasi pemula trading koinnya pilihan bebas memilih keamanannya bagus menjaga data miliki,aplikasi mula trading koin pilih bebas pilih aman bagus jaga data milik,positive
Bimbingan dong mind caranya daftar gagal terus,bimbingan dong mind caranya daftar gagal terus,bimbingan dong mind caranya daftar gagal terus,bimbingan dong mind caranya daftar gagal terus,bimbingan mind daftar gagal,bimbing mind daftar gagal,negative
"Terimakasih Tokocrypto , akhirnya nemuin apk yg saat dipakai itu membuat kita cepet faham cara investasi jual beli aset crypto karena UI nya yang simple 👍 ga ribet sih semenjak pakai Tokocrypto","terimakasih tokocrypto , akhirnya nemuin apk yg saat dipakai itu membuat kita cepet faham cara investasi jual beli aset crypto karena ui nya yang simple 👍 ga ribet sih semenjak pakai tokocrypto",terimakasih tokocrypto  akhirnya nemuin apk yg saat dipakai itu membuat kita cepet faham cara investasi jual beli aset crypto karena ui nya yang simple 👍 ga ribet sih semenjak pakai tokocrypto,terimakasih tokocrypto  akhirnya nemuin apk yg saat dipakai itu membuat kita cepet faham cara investasi jual beli aset crypto karena ui nya yang simple  ga ribet sih semenjak pakai tokocrypto,terimakasih tokocrypto nemuin apk yg dipakai cepet faham investasi jual beli aset crypto ui nya simple ga ribet sih semenjak pakai tokocrypto,terimakasih tokocrypto nemuin apk yg pakai cepet faham investasi jual beli aset crypto ui nya simple ga ribet sih semenjak pakai tokocrypto,positive
Selama menggunakan aplikasi tokocrypto sangat bagus Banyak event yang begitu sangat bermanfaat untuk kalangan milenial Dan belajar banyak tentang trading Kripto Tetaplah jadi yang terbaik buat aplikasi tokocrypto Salam the to moon,selama menggunakan aplikasi tokocrypto sangat bagus banyak event yang begitu sangat bermanfaat untuk kalangan milenial dan belajar banyak tentang trading kripto tetaplah jadi yang terbaik buat aplikasi tokocrypto salam the to moon,selama menggunakan aplikasi tokocrypto sangat bagus banyak event yang begitu sangat bermanfaat untuk kalangan milenial dan belajar banyak tentang trading kripto tetaplah jadi yang terbaik buat aplikasi tokocrypto salam the to moon,selama menggunakan aplikasi tokocrypto sangat bagus banyak event yang begitu sangat bermanfaat untuk kalangan milenial dan belajar banyak tentang trading kripto tetaplah jadi yang terbaik buat aplikasi tokocrypto salam the to moon,aplikasi tokocrypto bagus event bermanfaat kalangan milenial belajar trading kripto tetaplah terbaik aplikasi tokocrypto salam the to moon,aplikasi tokocrypto bagus event manfaat kalang milenial ajar trading kripto tetap baik aplikasi tokocrypto salam the to moon,positive
Konversi saldo kecil ke TKO Maintenance lama enggak kelar-kelar ditambah transaksi transfer saldo suka pending lama akhir-akhir ini :') *edited : udah 2 bulan,konversi saldo kecil ke tko maintenance lama enggak kelar-kelar ditambah transaksi transfer saldo suka pending lama akhir-akhir ini :') *edited : udah 2 bulan,konversi saldo kecil ke tko maintenance lama enggak kelarkelar ditambah transaksi transfer saldo suka pending lama akhirakhir ini  edited  udah 2 bulan,konversi saldo kecil ke tko maintenance lama enggak kelarkelar ditambah transaksi transfer saldo suka pending lama akhirakhir ini  edited  udah 2 bulan,konversi saldo tko maintenance kelarkelar ditambah transaksi transfer saldo suka pending akhirakhir edited udah 2,konversi saldo tko maintenance kelarkelar tambah transaksi transfer saldo suka pending akhirakhir edited udah 2,negative
"Aplikasi nya bagus dan ringan.. cocok bagi saya yang pemula ingin terjun. Tidak membingungkan, dan rekomendasi sekali untuk orang orang yang tidak paham tapi ingi terjun (?) Unduh saja Tokocrypto!","aplikasi nya bagus dan ringan.. cocok bagi saya yang pemula ingin terjun. tidak membingungkan, dan rekomendasi sekali untuk orang orang yang tidak paham tapi ingi terjun (?) unduh saja tokocrypto!",aplikasi nya bagus dan ringan cocok bagi saya yang pemula ingin terjun tidak membingungkan dan rekomendasi sekali untuk orang orang yang tidak paham tapi ingi terjun  unduh saja tokocrypto,aplikasi nya bagus dan ringan cocok bagi saya yang pemula ingin terjun tidak membingungkan dan rekomendasi sekali untuk orang orang yang tidak paham tapi ingi terjun  unduh saja tokocrypto,aplikasi nya bagus ringan cocok pemula terjun membingungkan rekomendasi orang orang paham ingi terjun unduh tokocrypto,aplikasi nya bagus ringan cocok mula terjun bingung rekomendasi orang orang paham ingi terjun unduh tokocrypto,positive
Kox sekarang2 ini tiap ane buka tko sering gx bisa sieh min. Ada tulisan tipe data salah. Tpi kadang bisa,kox sekarang2 ini tiap ane buka tko sering gx bisa sieh min. ada tulisan tipe data salah. tpi kadang bisa,kox sekarang2 ini tiap ane buka tko sering gx bisa sieh min ada tulisan tipe data salah tpi kadang bisa,kox sekarang2 ini tiap ane buka tko sering gx bisa sieh min ada tulisan tipe data salah tpi kadang bisa,kox sekarang2 ane buka tko gx sieh min tulisan tipe data salah tpi kadang,kox sekarang2 ane buka tko gx sieh min tulis tipe data salah tpi kadang,negative
Aplikasi yang bagus. Disini kita dapat trading fee yang paling rendah diantara aplikasi lain-lainnya. Pokoknya baguss dehh,aplikasi yang bagus. disini kita dapat trading fee yang paling rendah diantara aplikasi lain-lainnya. pokoknya baguss dehh,aplikasi yang bagus disini kita dapat trading fee yang paling rendah diantara aplikasi lainlainnya pokoknya baguss dehh,aplikasi yang bagus disini kita dapat trading fee yang paling rendah diantara aplikasi lainlainnya pokoknya baguss dehh,aplikasi bagus trading fee rendah aplikasi lainlainnya pokoknya baguss dehh,aplikasi bagus trading fee rendah aplikasi lainlainnya pokok baguss dehh,positive
"Aplikasinya bagus, costumer service 24 jam, responsif dan sangat membantu","aplikasinya bagus, costumer service 24 jam, responsif dan sangat membantu",aplikasinya bagus costumer service 24 jam responsif dan sangat membantu,aplikasinya bagus costumer service 24 jam responsif dan sangat membantu,aplikasinya bagus costumer service 24 jam responsif membantu,aplikasi bagus costumer service 24 jam responsif bantu,positive
"Tokocrypto. Terimakasih sebelumnya, saya sebenarnya lagi mau belajar berniaga di tokocrypto. Semoga tidak sesulit yang di bayangkan.","tokocrypto. terimakasih sebelumnya, saya sebenarnya lagi mau belajar berniaga di tokocrypto. semoga tidak sesulit yang di bayangkan.",tokocrypto terimakasih sebelumnya saya sebenarnya lagi mau belajar berniaga di tokocrypto semoga tidak sesulit yang di bayangkan,tokocrypto terimakasih sebelumnya saya sebenarnya lagi mau belajar berniaga di tokocrypto semoga tidak sesulit yang di bayangkan,tokocrypto terimakasih belajar berniaga tokocrypto semoga sesulit bayangkan,tokocrypto terimakasih ajar niaga tokocrypto moga sulit bayang,positive
